title,rank,date,artist,url,region,chart,trend,streams
Photograph,200,2020-12-29,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Taiwan,top200,NEW_ENTRY,6705.0
God is a woman,50,2018-08-21,Ariana Grande,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,France,top200,MOVE_DOWN,66243.0
Happier,85,2018-01-04,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Ireland,top200,MOVE_DOWN,6520.0
Happier,23,2018-05-18,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Philippines,top200,MOVE_UP,89168.0
Perfect Duet (Ed Sheeran & Beyoncé),157,2018-06-01,Ed Sheeran,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,Denmark,top200,MOVE_DOWN,10848.0
Shape of You,128,2018-08-31,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Denmark,top200,MOVE_DOWN,12238.0
Perfect,168,2019-06-21,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Chile,top200,MOVE_DOWN,23922.0
Bad Habits,22,2021-09-16,Ed Sheeran,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,Malaysia,top200,MOVE_UP,23811.0
Thinking out Loud,111,2017-11-13,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Colombia,top200,MOVE_UP,5890.0
Shape of You,89,2018-09-21,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,South Africa,top200,MOVE_UP,1230.0
Shape of You,1,2017-03-21,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Hungary,top200,SAME_POSITION,16850.0
Thinking out Loud,146,2018-09-16,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Denmark,top200,MOVE_DOWN,7784.0
Castle on the Hill,16,2017-04-13,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,Denmark,top200,SAME_POSITION,49972.0
South of the Border (feat. Camila Cabello & Cardi B),25,2019-11-25,Ed Sheeran,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,Bulgaria,top200,MOVE_UP,1392.0
"thank u, next",195,2019-06-25,Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,Bolivia,top200,NEW_ENTRY,1329.0
positions,7,2020-11-02,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Saudi Arabia,top200,MOVE_UP,8150.0
fake smile,97,2019-03-06,Ariana Grande,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ,Ireland,top200,MOVE_DOWN,7706.0
no tears left to cry,77,2018-08-22,Ariana Grande,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Honduras,top200,MOVE_DOWN,1318.0
Dive,53,2018-04-09,Ed Sheeran,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,Philippines,top200,MOVE_UP,47640.0
Happier,186,2017-09-01,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Denmark,top200,MOVE_DOWN,8824.0
I Don't Care (with Justin Bieber),54,2020-03-05,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Portugal,top200,SAME_POSITION,10795.0
Photograph,170,2019-11-04,Ed Sheeran,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Philippines,top200,MOVE_UP,27054.0
Perfect,48,2017-12-03,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Mexico,viral50,MOVE_DOWN,
I Don't Care (with Justin Bieber),123,2020-08-06,Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,Philippines,top200,MOVE_UP,31878.0
